algo,param,value,n,median_cost,median_real_ns,median_cpu_ns
hc,restarts,10,10,2.9183235831364316,4318628,4328125
hc,restarts,50,10,2.886298001360694,15954250,23437500
hc,restarts,200,10,2.886298001360694,92547450,78125000
hc,restarts,800,10,2.886298001360694,351483950,343750000
sa,limit,10000,10,5.448635616357711,172588450,171875000
sa,limit,50000,10,2.9713317263285495,864139800,859375000
sa,limit,200000,10,2.951873561280448,3438237300,3429687500
ga,mutation,0.01,10,3.0516937270556337,487921700,484375000
ga,mutation,0.05,10,2.886298001360694,489782600,484375000
ga,mutation,0.1,10,2.912162825640153,498152100,492187500
ga,mutation,0.2,10,2.886298001360694,500612800,500000000
hc,restarts,10,15,2.9872410790455555,15824150,15625000
hc,restarts,50,15,2.9142369887188497,63717300,78125000
hc,restarts,200,15,2.9142369887188493,284994800,281250000
hc,restarts,800,15,2.9142369887188493,1163584800,1164062500
sa,limit,10000,15,7.129285743085299,385126550,375000000
sa,limit,50000,15,3.0497328534317942,1898231950,1890625000
sa,limit,200000,15,3.0268440841041766,7615585750,7609375000
ga,mutation,0.01,15,3.2370042403890107,633617750,625000000
ga,mutation,0.05,15,3.146932045776168,625138050,617187500
ga,mutation,0.1,15,3.041480040693354,640658300,640625000
ga,mutation,0.2,15,2.978921600275271,640120250,640625000
hc,restarts,10,20,4.392859486029536,37569700,39062500
hc,restarts,50,20,3.916260252983173,177411500,179687500
hc,restarts,200,20,3.916260252983173,729533100,734375000
hc,restarts,800,20,3.916260252983173,2918124000,2921875000
sa,limit,10000,20,12.172293885640313,698692500,679687500
sa,limit,50000,20,4.350382272368265,3479767250,3476562500
sa,limit,200000,20,4.252534888638601,14009141850,13929687500
ga,mutation,0.01,20,4.82705702909114,775587350,765625000
ga,mutation,0.05,20,4.113668986992247,774380350,765625000
ga,mutation,0.1,20,4.254185050184345,783173000,781250000
ga,mutation,0.2,20,4.091992619679167,798563900,796875000
