matrix,cost,real_ns,cpu_ns,expanded
10_random_adj_mat_0.txt,2.4264022434978916,181198100,171875000,2295
10_random_adj_mat_1.txt,2.91984797950471,269527800,265625000,2903
10_random_adj_mat_2.txt,3.351320331000942,64267900,78125000,1404
10_random_adj_mat_3.txt,3.297805212130009,114206700,125000000,1769
10_random_adj_mat_4.txt,3.2268629179918995,26895300,31250000,961
10_random_adj_mat_5.txt,2.334051028911734,77280700,62500000,1436
10_random_adj_mat_6.txt,2.8527480232166775,88878900,78125000,1585
10_random_adj_mat_7.txt,2.8362240587991128,28215300,31250000,961
10_random_adj_mat_8.txt,2.983899143056186,46683500,62500000,1182
10_random_adj_mat_9.txt,2.828184716381501,69640300,62500000,1251
15_random_adj_mat_6.txt,2.8747424255513714,257438418300,255375000000,67937
15_random_adj_mat_7.txt,2.953731551886327,81361503200,80562500000,40821
15_random_adj_mat_8.txt,2.781896341181247,622161800,640625000,4170
15_random_adj_mat_9.txt,3.2794379515663525,206057505300,204437500000,61198
20_random_adj_mat_2.txt,3.9633563103617404,324569910200,321093750000,73000
20_random_adj_mat_6.txt,3.8691641956046054,431064664100,426859375000,84917
