n,k,restarts,median_cost,median_real_ns,median_cpu_ns
15,2,10,2.8747424255513714,2006000,468750
15,2,100,2.8747424255513714,6931500,4843750
15,2,200,3.0129320946060516,10121400,15625000
15,2,800,2.8747424255513714,43749500,46875000
15,3,10,3.435065221237548,1490000,625000
15,3,100,2.9526871027401724,5999800,7531250
15,3,200,2.9526871027401724,13095700,15625000
15,3,800,2.9526871027401724,55244600,46875000
15,4,10,3.808035699697444,1005600,750000
15,4,100,3.4289383301915306,8831400,15625000
15,4,200,3.0129320946060516,16730600,15625000
15,4,800,2.9349874174172506,58151500,62500000
15,5,10,3.5636119282895846,1005200,875000
15,5,100,3.2197327858633185,5707600,11312500
15,5,200,3.056271356925438,23027900,15625000
15,5,800,2.978350501437518,64544600,62500000
